@relation 'relation-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute '0.67 class=crew-0.455sex=female-0.437class=3rd-0.297age=child-0.188class=1st...' numeric
@attribute -0.617class=3rd+0.612class=1st+0.304sex=female+0.295class=2nd-0.248age=child... numeric
@attribute survived {yes,no}

@data
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-0.329403,1.727281,no
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,yes
-1.439377,2.468232,no
-1.439377,2.468232,no
-1.439377,2.468232,no
-1.439377,2.468232,no
-1.696184,0.58242,yes
-1.696184,0.58242,yes
-1.696184,0.58242,yes
-1.696184,0.58242,yes
-1.696184,0.58242,yes
-2.806158,1.323372,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,yes
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-0.312738,0.880553,no
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,yes
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.422712,1.621505,no
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-1.679519,-0.264307,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-2.789493,0.476644,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,yes
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
-0.735895,-1.319664,no
